id,cnY
BMH1_TG001_P31_F04,none
BMH1_TG001_P31_F05,none
BMH1_TG001_P31_F06,none
BMH1_TG001_P31_F07,none
BMH1_TG001_P31_F08,loss Y
BMH1_TG001_P31_F09,none
BMH1_TG001_P31_F10,none
BMH1_TG001_P31_F11,none
BMH1_TG001_P31_F12,none
BMH1_TG001_P31_G02,none
BMH1_TG001_P31_G04,none
BMH1_TG001_P31_G05,none
BMH1_TG001_P31_G06,none
BMH1_TG001_P31_G07,none
BMH1_TG001_P31_G08,none
BMH1_TG001_P31_G09,none
BMH1_TG001_P31_G10,none
BMH1_TG001_P31_G11,none
BMH1_TG001_P31_G12,none
BMH1_TG001_P31_H01,none
BMH1_TG001_P31_H02,none
BMH1_TG001_P31_H03,none
BMH1_TG001_P31_H05,none
BMH1_TG001_P31_H06,none
BMH1_TG001_P31_H07,none
BMH1_TG001_P31_H08,none
BMH1_TG001_P31_H09,loss Y
BMH1_TG001_P31_H10,none
BMH1_TG001_P31_H11,none
BMH1_TG001_P31_H12,none
BMH1_TG001_P32_A01,none
BMH1_TG001_P32_A02,none
BMH1_TG001_P32_A03,none
BMH1_TG001_P32_A04,none
BMH1_TG001_P32_A05,none
BMH1_TG001_P32_A06,none
BMH1_TG001_P32_A07,none
BMH1_TG001_P32_A08,none
BMH1_TG001_P32_A09,none
BMH1_TG001_P32_A10,none
BMH1_TG001_P32_A11,none
BMH1_TG001_P32_B01,none
BMH1_TG001_P32_B02,none
BMH1_TG001_P32_B03,none
BMH1_TG001_P32_B04,none
BMH1_TG001_P32_B05,none
BMH1_TG001_P32_B06,none
BMH1_TG001_P32_B07,loss Y
BMH1_TG001_P32_B08,none
BMH1_TG001_P32_B09,none
BMH1_TG001_P32_B10,none
BMH1_TG001_P32_B11,none
BMH1_TG001_P32_C01,loss Y
BMH1_TG001_P32_C02,none
BMH1_TG001_P32_C03,none
BMH1_TG001_P32_C04,none
BMH1_TG001_P32_C05,none
BMH1_TG001_P32_C06,none
BMH1_TG001_P32_C07,loss Y
BMH1_TG001_P32_C08,none
BMH1_TG001_P32_C09,none
BMH1_TG001_P32_C10,none
BMH1_TG001_P32_C11,none
BMH1_TG001_P32_D01,loss Y
BMH1_TG001_P32_D02,none
